project,commit_url,files_modified,found_in_both,vuln_commit,vuln_lines_added,vuln_lines_deleted,fix_commit,fix_lines_added,fix_lines_deleted,cve,cwe
curl,https://github.com/curl/curl/commit/058f98dc3fe595f21dc26a5b9b1699e519ba5705,lib/conncache.c,No,852aa5ad351ea53e5f01d2f44b5b4370c2bf5425,31,16,058f98dc3fe595f21dc26a5b9b1699e519ba5705,6,2,CVE-2022-27775,CWE-200
curl,https://github.com/curl/curl/commit/8dfc93e573ca740544a2d79ebb0ed786592c65c3,lib/cookie.c,No,74e156d00f9f0979a360576ba487f57c35784a14,7,0,8dfc93e573ca740544a2d79ebb0ed786592c65c3,29,0,CVE-2022-35252,CWE-20
curl,https://github.com/bagder/curl/commit/178bd7db34f77e020fb8562890c5625ccbd67093,lib/url.c,No,f7d5ecec9c99d283a9a196eca88ba70560321eaf,40,5,178bd7db34f77e020fb8562890c5625ccbd67093,7,0,CVE-2014-8150,NVD-CWE-Other
cxxtools,https://github.com/maekitalo/cxxtools/commit/142bb2589dc184709857c08c1e10570947c444e3,test/query_params-test.cpp;src/query_params.cpp,No,470ab6511c745ecd9cf5a22f901f18754cfac686,6,6,142bb2589dc184709857c08c1e10570947c444e3,15,1,,
cyrus-sasl,https://github.com/cyrusimap/cyrus-sasl/commit/9eff746c9daecbcc0041b09a5a51ba30738cdcbc,plugins/sql.c,No,1c1492385bd5c70cab396347a86fd32768f33722,89,130,9eff746c9daecbcc0041b09a5a51ba30738cdcbc,23,3,CVE-2022-24407,CWE-89
date,https://github.com/ruby/date/commit/8f2d7a0c7e52cea8333824bd527822e5449ed83d,ext/date/date_core.c;test/date/test_date_parse.rb,Yes,3959accef8da5c128f8a8e2fd54e932a4fb253b0,326,89,8f2d7a0c7e52cea8333824bd527822e5449ed83d,20,0,CVE-2021-41817,NVD-CWE-Other
date,https://github.com/ruby/date/commit/376c65942bd1d81803f14d37351737df60ec4664,ext/date/date_core.c;test/date/test_date_parse.rb,Yes,8f2d7a0c7e52cea8333824bd527822e5449ed83d,20,0,376c65942bd1d81803f14d37351737df60ec4664,25,0,CVE-2021-41817,NVD-CWE-Other
detect-character-encoding,https://github.com/sonicdoe/detect-character-encoding/commit/992a11007fff6cfd40b952150ab8d30410c4a20a,test/index.js;README.md;icuWrapper.cpp,Yes,4997c25de0b581474fab7d686113134357451d52,1,1,992a11007fff6cfd40b952150ab8d30410c4a20a,12,0,,
detect-character-encoding,https://github.com/sonicdoe/detect-character-encoding/commit/d44356927b92e3b13e178071bf6d7c671766f588,icuWrapper.cpp,Yes,2e3aa333a573960edf2d782bca3b25a01e49678b,5,0,d44356927b92e3b13e178071bf6d7c671766f588,5,0,,
domoticz,https://github.com/domoticz/domoticz/commit/ee70db46f81afa582c96b887b73bcd2a86feda00,main/WebServer.cpp,No,9c9319ace1f0a76b12bf349d62f455a506d286df,1,1,ee70db46f81afa582c96b887b73bcd2a86feda00,1,1,,
